"","GROUP","value","concept","variable","siteid","obs_value"
"924","SEVERE_NO_ARDS_18_49",,"elix","Rheumatoid arthritis","site_02",10
"925","SEVERE_NO_ARDS_18_49",10,"elix","Coagulopathy","site_02",10
"926","SEVERE_NO_ARDS_18_49",,"elix","Obesity","site_02",10
"927","SEVERE_NO_ARDS_18_49",,"elix","Weight loss","site_02",10
"928","SEVERE_NO_ARDS_18_49",17,"elix","Fluid/electrolyte disorders","site_02",10
"929","SEVERE_NO_ARDS_18_49",,"elix","Blood loss anemia","site_02",10
"930","SEVERE_NO_ARDS_18_49",,"elix","Deficiency anemia","site_02",10
"931","SEVERE_NO_ARDS_18_49",,"elix","Alcohol abuse","site_02",10
"932","SEVERE_NO_ARDS_18_49",,"elix","Drug abuse","site_02",10
"933","SEVERE_NO_ARDS_18_49",,"elix","Psychoses","site_02",10
"934","SEVERE_NO_ARDS_18_49",,"elix","Depression","site_02",10
"935","SEVERE_NO_ARDS_18_49",,"elix","Cancer","site_02",10
"936","SEVERE_NO_ARDS_sup_49",62,"elix","Congestive heart failure","site_02",10
"937","SEVERE_NO_ARDS_sup_49",81,"elix","Cardiac arrhythmia","site_02",10
"938","SEVERE_NO_ARDS_sup_49",37,"elix","Valvular disease","site_02",10
"939","SEVERE_NO_ARDS_sup_49",19,"elix","Pulmonary circulation disorder","site_02",10
"940","SEVERE_NO_ARDS_sup_49",21,"elix","Peripheral vascular disease","site_02",10
"941","SEVERE_NO_ARDS_sup_49",94,"elix","Hypertension","site_02",10
"942","SEVERE_NO_ARDS_sup_49",,"elix","Paralysis","site_02",10
"943","SEVERE_NO_ARDS_sup_49",44,"elix","Other neurological disorders","site_02",10
"944","SEVERE_NO_ARDS_sup_49",37,"elix","Chronic pulmonary disease","site_02",10
"945","SEVERE_NO_ARDS_sup_49",60,"elix","Diabetes,","site_02",10
"946","SEVERE_NO_ARDS_sup_49",21,"elix","Hypothyroidism","site_02",10
"947","SEVERE_NO_ARDS_sup_49",46,"elix","Renal failure","site_02",10
"948","SEVERE_NO_ARDS_sup_49",28,"elix","Liver disease","site_02",10
"949","SEVERE_NO_ARDS_sup_49",,"elix","Peptic ulcer disease","site_02",10
"950","SEVERE_NO_ARDS_sup_49",,"elix","AIDS/HIV","site_02",10
"951","SEVERE_NO_ARDS_sup_49",,"elix","Lymphoma","site_02",10
"952","SEVERE_NO_ARDS_sup_49",,"elix","Metastatic cancer","site_02",10
"953","SEVERE_NO_ARDS_sup_49",17,"elix","Solid tumor without metastasis","site_02",10
"954","SEVERE_NO_ARDS_sup_49",,"elix","Rheumatoid arthritis","site_02",10
"955","SEVERE_NO_ARDS_sup_49",67,"elix","Coagulopathy","site_02",10
"956","SEVERE_NO_ARDS_sup_49",37,"elix","Obesity","site_02",10
"957","SEVERE_NO_ARDS_sup_49",41,"elix","Weight loss","site_02",10
"958","SEVERE_NO_ARDS_sup_49",103,"elix","Fluid/electrolyte disorders","site_02",10
"959","SEVERE_NO_ARDS_sup_49",17,"elix","Blood loss anemia","site_02",10
"960","SEVERE_NO_ARDS_sup_49",23,"elix","Deficiency anemia","site_02",10
"961","SEVERE_NO_ARDS_sup_49",,"elix","Alcohol abuse","site_02",10
"962","SEVERE_NO_ARDS_sup_49",,"elix","Drug abuse","site_02",10
"963","SEVERE_NO_ARDS_sup_49",12,"elix","Psychoses","site_02",10
"964","SEVERE_NO_ARDS_sup_49",48,"elix","Depression","site_02",10
"965","SEVERE_NO_ARDS_sup_49",19,"elix","Cancer","site_02",10
"966","ARDS_18_49",7,"elix","Congestive heart failure","site_03",3
"967","ARDS_18_49",15,"elix","Cardiac arrhythmia","site_03",3
"968","ARDS_18_49",5,"elix","Valvular disease","site_03",3
"969","ARDS_18_49",,"elix","Pulmonary circulation disorder","site_03",3
"970","ARDS_18_49",3,"elix","Peripheral vascular disease","site_03",3
"971","ARDS_18_49",13,"elix","Hypertension","site_03",3
"972","ARDS_18_49",6,"elix","Paralysis","site_03",3
"973","ARDS_18_49",4,"elix","Other neurological disorders","site_03",3
"974","ARDS_18_49",9,"elix","Chronic pulmonary disease","site_03",3
"975","ARDS_18_49",10,"elix","Diabetes,","site_03",3
"976","ARDS_18_49",,"elix","Hypothyroidism","site_03",3
"977","ARDS_18_49",4,"elix","Renal failure","site_03",3
"978","ARDS_18_49",,"elix","Liver disease","site_03",3
"979","ARDS_18_49",,"elix","Peptic ulcer disease","site_03",3
"980","ARDS_18_49",,"elix","AIDS/HIV","site_03",3
"981","ARDS_18_49",,"elix","Lymphoma","site_03",3
"982","ARDS_18_49",,"elix","Metastatic cancer","site_03",3
"983","ARDS_18_49",,"elix","Solid tumor without metastasis","site_03",3
"984","ARDS_18_49",,"elix","Rheumatoid arthritis","site_03",3
"985","ARDS_18_49",4,"elix","Coagulopathy","site_03",3
"986","ARDS_18_49",25,"elix","Obesity","site_03",3
"987","ARDS_18_49",10,"elix","Weight loss","site_03",3
"988","ARDS_18_49",29,"elix","Fluid/electrolyte disorders","site_03",3
"989","ARDS_18_49",4,"elix","Blood loss anemia","site_03",3
"990","ARDS_18_49",4,"elix","Deficiency anemia","site_03",3
"991","ARDS_18_49",,"elix","Alcohol abuse","site_03",3
"992","ARDS_18_49",,"elix","Drug abuse","site_03",3
"993","ARDS_18_49",,"elix","Psychoses","site_03",3
"994","ARDS_18_49",13,"elix","Depression","site_03",3
"995","ARDS_18_49",,"elix","Cancer","site_03",3
"996","ARDS_sup_49",64,"elix","Congestive heart failure","site_03",3
"997","ARDS_sup_49",170,"elix","Cardiac arrhythmia","site_03",3
"998","ARDS_sup_49",66,"elix","Valvular disease","site_03",3
"999","ARDS_sup_49",43,"elix","Pulmonary circulation disorder","site_03",3
"1000","ARDS_sup_49",32,"elix","Peripheral vascular disease","site_03",3
"1001","ARDS_sup_49",200,"elix","Hypertension","site_03",3
"1002","ARDS_sup_49",57,"elix","Paralysis","site_03",3
"1003","ARDS_sup_49",40,"elix","Other neurological disorders","site_03",3
"1004","ARDS_sup_49",73,"elix","Chronic pulmonary disease","site_03",3
"1005","ARDS_sup_49",82,"elix","Diabetes,","site_03",3
"1006","ARDS_sup_49",20,"elix","Hypothyroidism","site_03",3
"1007","ARDS_sup_49",38,"elix","Renal failure","site_03",3
"1008","ARDS_sup_49",21,"elix","Liver disease","site_03",3
"1009","ARDS_sup_49",7,"elix","Peptic ulcer disease","site_03",3
"1010","ARDS_sup_49",,"elix","AIDS/HIV","site_03",3
"1011","ARDS_sup_49",12,"elix","Lymphoma","site_03",3
"1012","ARDS_sup_49",4,"elix","Metastatic cancer","site_03",3
"1013","ARDS_sup_49",12,"elix","Solid tumor without metastasis","site_03",3
"1014","ARDS_sup_49",8,"elix","Rheumatoid arthritis","site_03",3
"1015","ARDS_sup_49",58,"elix","Coagulopathy","site_03",3
"1016","ARDS_sup_49",135,"elix","Obesity","site_03",3
"1017","ARDS_sup_49",85,"elix","Weight loss","site_03",3
"1018","ARDS_sup_49",256,"elix","Fluid/electrolyte disorders","site_03",3
"1019","ARDS_sup_49",23,"elix","Blood loss anemia","site_03",3
"1020","ARDS_sup_49",28,"elix","Deficiency anemia","site_03",3
"1021","ARDS_sup_49",18,"elix","Alcohol abuse","site_03",3
"1022","ARDS_sup_49",3,"elix","Drug abuse","site_03",3
"1023","ARDS_sup_49",9,"elix","Psychoses","site_03",3
"1024","ARDS_sup_49",86,"elix","Depression","site_03",3
"1025","ARDS_sup_49",24,"elix","Cancer","site_03",3
"1026","NO_SEVERE_18_49",5,"elix","Congestive heart failure","site_03",3
"1027","NO_SEVERE_18_49",46,"elix","Cardiac arrhythmia","site_03",3
"1028","NO_SEVERE_18_49",9,"elix","Valvular disease","site_03",3
"1029","NO_SEVERE_18_49",7,"elix","Pulmonary circulation disorder","site_03",3
"1030","NO_SEVERE_18_49",,"elix","Peripheral vascular disease","site_03",3
"1031","NO_SEVERE_18_49",30,"elix","Hypertension","site_03",3
"1032","NO_SEVERE_18_49",5,"elix","Paralysis","site_03",3
"1033","NO_SEVERE_18_49",5,"elix","Other neurological disorders","site_03",3
"1034","NO_SEVERE_18_49",26,"elix","Chronic pulmonary disease","site_03",3
"1035","NO_SEVERE_18_49",22,"elix","Diabetes,","site_03",3
"1036","NO_SEVERE_18_49",8,"elix","Hypothyroidism","site_03",3
"1037","NO_SEVERE_18_49",12,"elix","Renal failure","site_03",3
"1038","NO_SEVERE_18_49",13,"elix","Liver disease","site_03",3
"1039","NO_SEVERE_18_49",,"elix","Peptic ulcer disease","site_03",3
"1040","NO_SEVERE_18_49",,"elix","AIDS/HIV","site_03",3
"1041","NO_SEVERE_18_49",,"elix","Lymphoma","site_03",3
"1042","NO_SEVERE_18_49",,"elix","Metastatic cancer","site_03",3
"1043","NO_SEVERE_18_49",,"elix","Solid tumor without metastasis","site_03",3
"1044","NO_SEVERE_18_49",6,"elix","Rheumatoid arthritis","site_03",3
"1045","NO_SEVERE_18_49",22,"elix","Coagulopathy","site_03",3
"1046","NO_SEVERE_18_49",69,"elix","Obesity","site_03",3
"1047","NO_SEVERE_18_49",23,"elix","Weight loss","site_03",3
"1048","NO_SEVERE_18_49",77,"elix","Fluid/electrolyte disorders","site_03",3
"1049","NO_SEVERE_18_49",14,"elix","Blood loss anemia","site_03",3
"1050","NO_SEVERE_18_49",14,"elix","Deficiency anemia","site_03",3
"1051","NO_SEVERE_18_49",5,"elix","Alcohol abuse","site_03",3
"1052","NO_SEVERE_18_49",3,"elix","Drug abuse","site_03",3
"1053","NO_SEVERE_18_49",,"elix","Psychoses","site_03",3
"1054","NO_SEVERE_18_49",24,"elix","Depression","site_03",3
"1055","NO_SEVERE_18_49",,"elix","Cancer","site_03",3
"1056","NO_SEVERE_sup_49",230,"elix","Congestive heart failure","site_03",3
"1057","NO_SEVERE_sup_49",385,"elix","Cardiac arrhythmia","site_03",3
"1058","NO_SEVERE_sup_49",223,"elix","Valvular disease","site_03",3
"1059","NO_SEVERE_sup_49",68,"elix","Pulmonary circulation disorder","site_03",3
"1060","NO_SEVERE_sup_49",118,"elix","Peripheral vascular disease","site_03",3
"1061","NO_SEVERE_sup_49",479,"elix","Hypertension","site_03",3
"1062","NO_SEVERE_sup_49",62,"elix","Paralysis","site_03",3
"1063","NO_SEVERE_sup_49",154,"elix","Other neurological disorders","site_03",3
"1064","NO_SEVERE_sup_49",186,"elix","Chronic pulmonary disease","site_03",3
"1065","NO_SEVERE_sup_49",232,"elix","Diabetes,","site_03",3
"1066","NO_SEVERE_sup_49",87,"elix","Hypothyroidism","site_03",3
"1067","NO_SEVERE_sup_49",126,"elix","Renal failure","site_03",3
"1068","NO_SEVERE_sup_49",48,"elix","Liver disease","site_03",3
"1069","NO_SEVERE_sup_49",19,"elix","Peptic ulcer disease","site_03",3
"1070","NO_SEVERE_sup_49",3,"elix","AIDS/HIV","site_03",3
"1071","NO_SEVERE_sup_49",27,"elix","Lymphoma","site_03",3
"1072","NO_SEVERE_sup_49",33,"elix","Metastatic cancer","site_03",3
"1073","NO_SEVERE_sup_49",81,"elix","Solid tumor without metastasis","site_03",3
"1074","NO_SEVERE_sup_49",42,"elix","Rheumatoid arthritis","site_03",3
"1075","NO_SEVERE_sup_49",147,"elix","Coagulopathy","site_03",3
"1076","NO_SEVERE_sup_49",192,"elix","Obesity","site_03",3
"1077","NO_SEVERE_sup_49",285,"elix","Weight loss","site_03",3
"1078","NO_SEVERE_sup_49",586,"elix","Fluid/electrolyte disorders","site_03",3
"1079","NO_SEVERE_sup_49",88,"elix","Blood loss anemia","site_03",3
"1080","NO_SEVERE_sup_49",106,"elix","Deficiency anemia","site_03",3
"1081","NO_SEVERE_sup_49",43,"elix","Alcohol abuse","site_03",3
"1082","NO_SEVERE_sup_49",4,"elix","Drug abuse","site_03",3
"1083","NO_SEVERE_sup_49",30,"elix","Psychoses","site_03",3
"1084","NO_SEVERE_sup_49",212,"elix","Depression","site_03",3
"1085","NO_SEVERE_sup_49",106,"elix","Cancer","site_03",3
"1086","SEVERE_NO_ARDS_18_49",,"elix","Congestive heart failure","site_03",3
"1087","SEVERE_NO_ARDS_18_49",3,"elix","Cardiac arrhythmia","site_03",3
"1088","SEVERE_NO_ARDS_18_49",,"elix","Valvular disease","site_03",3
"1089","SEVERE_NO_ARDS_18_49",,"elix","Pulmonary circulation disorder","site_03",3
"1090","SEVERE_NO_ARDS_18_49",,"elix","Peripheral vascular disease","site_03",3
"1091","SEVERE_NO_ARDS_18_49",3,"elix","Hypertension","site_03",3
"1092","SEVERE_NO_ARDS_18_49",,"elix","Paralysis","site_03",3
"1093","SEVERE_NO_ARDS_18_49",3,"elix","Other neurological disorders","site_03",3
"1094","SEVERE_NO_ARDS_18_49",,"elix","Chronic pulmonary disease","site_03",3
"1095","SEVERE_NO_ARDS_18_49",,"elix","Diabetes,","site_03",3
"1096","SEVERE_NO_ARDS_18_49",,"elix","Hypothyroidism","site_03",3
"1097","SEVERE_NO_ARDS_18_49",,"elix","Renal failure","site_03",3
"1098","SEVERE_NO_ARDS_18_49",,"elix","Liver disease","site_03",3
"1099","SEVERE_NO_ARDS_18_49",,"elix","Peptic ulcer disease","site_03",3
"1100","SEVERE_NO_ARDS_18_49",,"elix","AIDS/HIV","site_03",3
"1101","SEVERE_NO_ARDS_18_49",,"elix","Lymphoma","site_03",3
"1102","SEVERE_NO_ARDS_18_49",,"elix","Metastatic cancer","site_03",3
"1103","SEVERE_NO_ARDS_18_49",,"elix","Solid tumor without metastasis","site_03",3
"1104","SEVERE_NO_ARDS_18_49",,"elix","Rheumatoid arthritis","site_03",3
"1105","SEVERE_NO_ARDS_18_49",,"elix","Coagulopathy","site_03",3
"1106","SEVERE_NO_ARDS_18_49",3,"elix","Obesity","site_03",3
"1107","SEVERE_NO_ARDS_18_49",,"elix","Weight loss","site_03",3
"1108","SEVERE_NO_ARDS_18_49",4,"elix","Fluid/electrolyte disorders","site_03",3
"1109","SEVERE_NO_ARDS_18_49",,"elix","Blood loss anemia","site_03",3
"1110","SEVERE_NO_ARDS_18_49",,"elix","Deficiency anemia","site_03",3
"1111","SEVERE_NO_ARDS_18_49",,"elix","Alcohol abuse","site_03",3
"1112","SEVERE_NO_ARDS_18_49",,"elix","Drug abuse","site_03",3
"1113","SEVERE_NO_ARDS_18_49",,"elix","Psychoses","site_03",3
"1114","SEVERE_NO_ARDS_18_49",3,"elix","Depression","site_03",3
"1115","SEVERE_NO_ARDS_18_49",,"elix","Cancer","site_03",3
"1116","SEVERE_NO_ARDS_sup_49",61,"elix","Congestive heart failure","site_03",3
"1117","SEVERE_NO_ARDS_sup_49",121,"elix","Cardiac arrhythmia","site_03",3
"1118","SEVERE_NO_ARDS_sup_49",57,"elix","Valvular disease","site_03",3
"1119","SEVERE_NO_ARDS_sup_49",15,"elix","Pulmonary circulation disorder","site_03",3
"1120","SEVERE_NO_ARDS_sup_49",35,"elix","Peripheral vascular disease","site_03",3
"1121","SEVERE_NO_ARDS_sup_49",107,"elix","Hypertension","site_03",3
"1122","SEVERE_NO_ARDS_sup_49",19,"elix","Paralysis","site_03",3
"1123","SEVERE_NO_ARDS_sup_49",56,"elix","Other neurological disorders","site_03",3
"1124","SEVERE_NO_ARDS_sup_49",40,"elix","Chronic pulmonary disease","site_03",3
"1125","SEVERE_NO_ARDS_sup_49",41,"elix","Diabetes,","site_03",3
"1126","SEVERE_NO_ARDS_sup_49",18,"elix","Hypothyroidism","site_03",3
"1127","SEVERE_NO_ARDS_sup_49",47,"elix","Renal failure","site_03",3
"1128","SEVERE_NO_ARDS_sup_49",13,"elix","Liver disease","site_03",3
"1129","SEVERE_NO_ARDS_sup_49",3,"elix","Peptic ulcer disease","site_03",3
"1130","SEVERE_NO_ARDS_sup_49",,"elix","AIDS/HIV","site_03",3
"1131","SEVERE_NO_ARDS_sup_49",5,"elix","Lymphoma","site_03",3
"1132","SEVERE_NO_ARDS_sup_49",13,"elix","Metastatic cancer","site_03",3
"1133","SEVERE_NO_ARDS_sup_49",23,"elix","Solid tumor without metastasis","site_03",3
"1134","SEVERE_NO_ARDS_sup_49",4,"elix","Rheumatoid arthritis","site_03",3
"1135","SEVERE_NO_ARDS_sup_49",41,"elix","Coagulopathy","site_03",3
"1136","SEVERE_NO_ARDS_sup_49",31,"elix","Obesity","site_03",3
"1137","SEVERE_NO_ARDS_sup_49",64,"elix","Weight loss","site_03",3
"1138","SEVERE_NO_ARDS_sup_49",150,"elix","Fluid/electrolyte disorders","site_03",3
"1139","SEVERE_NO_ARDS_sup_49",17,"elix","Blood loss anemia","site_03",3
"1140","SEVERE_NO_ARDS_sup_49",20,"elix","Deficiency anemia","site_03",3
"1141","SEVERE_NO_ARDS_sup_49",17,"elix","Alcohol abuse","site_03",3
"1142","SEVERE_NO_ARDS_sup_49",,"elix","Drug abuse","site_03",3
"1143","SEVERE_NO_ARDS_sup_49",12,"elix","Psychoses","site_03",3
"1144","SEVERE_NO_ARDS_sup_49",84,"elix","Depression","site_03",3
"1145","SEVERE_NO_ARDS_sup_49",29,"elix","Cancer","site_03",3
"1146","ARDS_18_49",10,"elix","Congestive heart failure","site_04",10
"1147","ARDS_18_49",35,"elix","Cardiac arrhythmia","site_04",10
"1148","ARDS_18_49",13,"elix","Valvular disease","site_04",10
"1149","ARDS_18_49",,"elix","Pulmonary circulation disorder","site_04",10
"1150","ARDS_18_49",,"elix","Peripheral vascular disease","site_04",10
"1151","ARDS_18_49",22,"elix","Hypertension","site_04",10
"1152","ARDS_18_49",,"elix","Paralysis","site_04",10
"1153","ARDS_18_49",19,"elix","Other neurological disorders","site_04",10
"1154","ARDS_18_49",12,"elix","Chronic pulmonary disease","site_04",10
"1155","ARDS_18_49",20,"elix","Diabetes,","site_04",10
"1156","ARDS_18_49",,"elix","Hypothyroidism","site_04",10
"1157","ARDS_18_49",,"elix","Renal failure","site_04",10
"1158","ARDS_18_49",17,"elix","Liver disease","site_04",10
"1159","ARDS_18_49",,"elix","Peptic ulcer disease","site_04",10
"1160","ARDS_18_49",,"elix","AIDS/HIV","site_04",10
"1161","ARDS_18_49",,"elix","Lymphoma","site_04",10
"1162","ARDS_18_49",,"elix","Metastatic cancer","site_04",10
"1163","ARDS_18_49",,"elix","Solid tumor without metastasis","site_04",10
"1164","ARDS_18_49",,"elix","Rheumatoid arthritis","site_04",10
"1165","ARDS_18_49",24,"elix","Coagulopathy","site_04",10
"1166","ARDS_18_49",26,"elix","Obesity","site_04",10
"1167","ARDS_18_49",11,"elix","Weight loss","site_04",10
"1168","ARDS_18_49",32,"elix","Fluid/electrolyte disorders","site_04",10
"1169","ARDS_18_49",,"elix","Blood loss anemia","site_04",10
"1170","ARDS_18_49",13,"elix","Deficiency anemia","site_04",10
"1171","ARDS_18_49",,"elix","Alcohol abuse","site_04",10
"1172","ARDS_18_49",,"elix","Drug abuse","site_04",10
"1173","ARDS_18_49",,"elix","Psychoses","site_04",10
"1174","ARDS_18_49",16,"elix","Depression","site_04",10
"1175","ARDS_18_49",,"elix","Cancer","site_04",10
"1176","ARDS_sup_49",94,"elix","Congestive heart failure","site_04",10
"1177","ARDS_sup_49",148,"elix","Cardiac arrhythmia","site_04",10
"1178","ARDS_sup_49",76,"elix","Valvular disease","site_04",10
"1179","ARDS_sup_49",37,"elix","Pulmonary circulation disorder","site_04",10
"1180","ARDS_sup_49",47,"elix","Peripheral vascular disease","site_04",10
"1181","ARDS_sup_49",143,"elix","Hypertension","site_04",10
"1182","ARDS_sup_49",11,"elix","Paralysis","site_04",10
"1183","ARDS_sup_49",107,"elix","Other neurological disorders","site_04",10
"1184","ARDS_sup_49",89,"elix","Chronic pulmonary disease","site_04",10
"1185","ARDS_sup_49",102,"elix","Diabetes,","site_04",10
"1186","ARDS_sup_49",29,"elix","Hypothyroidism","site_04",10
"1187","ARDS_sup_49",54,"elix","Renal failure","site_04",10
"1188","ARDS_sup_49",60,"elix","Liver disease","site_04",10
"1189","ARDS_sup_49",11,"elix","Peptic ulcer disease","site_04",10
"1190","ARDS_sup_49",,"elix","AIDS/HIV","site_04",10
"1191","ARDS_sup_49",,"elix","Lymphoma","site_04",10
"1192","ARDS_sup_49",,"elix","Metastatic cancer","site_04",10
"1193","ARDS_sup_49",17,"elix","Solid tumor without metastasis","site_04",10
"1194","ARDS_sup_49",15,"elix","Rheumatoid arthritis","site_04",10
"1195","ARDS_sup_49",114,"elix","Coagulopathy","site_04",10
"1196","ARDS_sup_49",93,"elix","Obesity","site_04",10
"1197","ARDS_sup_49",46,"elix","Weight loss","site_04",10
"1198","ARDS_sup_49",161,"elix","Fluid/electrolyte disorders","site_04",10
"1199","ARDS_sup_49",25,"elix","Blood loss anemia","site_04",10
"1200","ARDS_sup_49",29,"elix","Deficiency anemia","site_04",10
"1201","ARDS_sup_49",,"elix","Alcohol abuse","site_04",10
"1202","ARDS_sup_49",,"elix","Drug abuse","site_04",10
"1203","ARDS_sup_49",,"elix","Psychoses","site_04",10
"1204","ARDS_sup_49",94,"elix","Depression","site_04",10
"1205","ARDS_sup_49",22,"elix","Cancer","site_04",10
"1206","NO_SEVERE_18_49",73,"elix","Congestive heart failure","site_04",10
"1207","NO_SEVERE_18_49",302,"elix","Cardiac arrhythmia","site_04",10
"1208","NO_SEVERE_18_49",52,"elix","Valvular disease","site_04",10
"1209","NO_SEVERE_18_49",59,"elix","Pulmonary circulation disorder","site_04",10
"1210","NO_SEVERE_18_49",38,"elix","Peripheral vascular disease","site_04",10
"1211","NO_SEVERE_18_49",191,"elix","Hypertension","site_04",10
"1212","NO_SEVERE_18_49",13,"elix","Paralysis","site_04",10
"1213","NO_SEVERE_18_49",100,"elix","Other neurological disorders","site_04",10
"1214","NO_SEVERE_18_49",127,"elix","Chronic pulmonary disease","site_04",10
"1215","NO_SEVERE_18_49",125,"elix","Diabetes,","site_04",10
"1216","NO_SEVERE_18_49",31,"elix","Hypothyroidism","site_04",10
"1217","NO_SEVERE_18_49",53,"elix","Renal failure","site_04",10
"1218","NO_SEVERE_18_49",112,"elix","Liver disease","site_04",10
"1219","NO_SEVERE_18_49",13,"elix","Peptic ulcer disease","site_04",10
"1220","NO_SEVERE_18_49",,"elix","AIDS/HIV","site_04",10
"1221","NO_SEVERE_18_49",,"elix","Lymphoma","site_04",10
"1222","NO_SEVERE_18_49",,"elix","Metastatic cancer","site_04",10
"1223","NO_SEVERE_18_49",15,"elix","Solid tumor without metastasis","site_04",10
"1224","NO_SEVERE_18_49",30,"elix","Rheumatoid arthritis","site_04",10
"1225","NO_SEVERE_18_49",99,"elix","Coagulopathy","site_04",10
"1226","NO_SEVERE_18_49",197,"elix","Obesity","site_04",10
"1227","NO_SEVERE_18_49",58,"elix","Weight loss","site_04",10
"1228","NO_SEVERE_18_49",232,"elix","Fluid/electrolyte disorders","site_04",10
"1229","NO_SEVERE_18_49",77,"elix","Blood loss anemia","site_04",10
"1230","NO_SEVERE_18_49",83,"elix","Deficiency anemia","site_04",10
"1231","NO_SEVERE_18_49",38,"elix","Alcohol abuse","site_04",10
"1232","NO_SEVERE_18_49",68,"elix","Drug abuse","site_04",10
"1233","NO_SEVERE_18_49",30,"elix","Psychoses","site_04",10
"1234","NO_SEVERE_18_49",196,"elix","Depression","site_04",10
"1235","NO_SEVERE_18_49",22,"elix","Cancer","site_04",10
"1236","NO_SEVERE_sup_49",763,"elix","Congestive heart failure","site_04",10
"1237","NO_SEVERE_sup_49",985,"elix","Cardiac arrhythmia","site_04",10
"1238","NO_SEVERE_sup_49",507,"elix","Valvular disease","site_04",10
"1239","NO_SEVERE_sup_49",326,"elix","Pulmonary circulation disorder","site_04",10
"1240","NO_SEVERE_sup_49",383,"elix","Peripheral vascular disease","site_04",10
"1241","NO_SEVERE_sup_49",1150,"elix","Hypertension","site_04",10
"1242","NO_SEVERE_sup_49",78,"elix","Paralysis","site_04",10
"1243","NO_SEVERE_sup_49",576,"elix","Other neurological disorders","site_04",10
"1244","NO_SEVERE_sup_49",510,"elix","Chronic pulmonary disease","site_04",10
"1245","NO_SEVERE_sup_49",642,"elix","Diabetes,","site_04",10
"1246","NO_SEVERE_sup_49",289,"elix","Hypothyroidism","site_04",10
"1247","NO_SEVERE_sup_49",491,"elix","Renal failure","site_04",10
"1248","NO_SEVERE_sup_49",260,"elix","Liver disease","site_04",10
"1249","NO_SEVERE_sup_49",64,"elix","Peptic ulcer disease","site_04",10
"1250","NO_SEVERE_sup_49",,"elix","AIDS/HIV","site_04",10
"1251","NO_SEVERE_sup_49",41,"elix","Lymphoma","site_04",10
"1252","NO_SEVERE_sup_49",115,"elix","Metastatic cancer","site_04",10
"1253","NO_SEVERE_sup_49",226,"elix","Solid tumor without metastasis","site_04",10
"1254","NO_SEVERE_sup_49",116,"elix","Rheumatoid arthritis","site_04",10
"1255","NO_SEVERE_sup_49",443,"elix","Coagulopathy","site_04",10
"1256","NO_SEVERE_sup_49",481,"elix","Obesity","site_04",10
"1257","NO_SEVERE_sup_49",344,"elix","Weight loss","site_04",10
"1258","NO_SEVERE_sup_49",891,"elix","Fluid/electrolyte disorders","site_04",10
"1259","NO_SEVERE_sup_49",250,"elix","Blood loss anemia","site_04",10
"1260","NO_SEVERE_sup_49",284,"elix","Deficiency anemia","site_04",10
"1261","NO_SEVERE_sup_49",79,"elix","Alcohol abuse","site_04",10
"1262","NO_SEVERE_sup_49",69,"elix","Drug abuse","site_04",10
"1263","NO_SEVERE_sup_49",60,"elix","Psychoses","site_04",10
"1264","NO_SEVERE_sup_49",555,"elix","Depression","site_04",10
"1265","NO_SEVERE_sup_49",274,"elix","Cancer","site_04",10
"1266","SEVERE_NO_ARDS_18_49",,"elix","Congestive heart failure","site_04",10
"1267","SEVERE_NO_ARDS_18_49",,"elix","Cardiac arrhythmia","site_04",10
"1268","SEVERE_NO_ARDS_18_49",,"elix","Valvular disease","site_04",10
"1269","SEVERE_NO_ARDS_18_49",,"elix","Pulmonary circulation disorder","site_04",10
"1270","SEVERE_NO_ARDS_18_49",,"elix","Peripheral vascular disease","site_04",10
"1271","SEVERE_NO_ARDS_18_49",,"elix","Hypertension","site_04",10
"1272","SEVERE_NO_ARDS_18_49",,"elix","Paralysis","site_04",10
"1273","SEVERE_NO_ARDS_18_49",,"elix","Other neurological disorders","site_04",10
"1274","SEVERE_NO_ARDS_18_49",,"elix","Chronic pulmonary disease","site_04",10
"1275","SEVERE_NO_ARDS_18_49",,"elix","Diabetes,","site_04",10
"1276","SEVERE_NO_ARDS_18_49",,"elix","Hypothyroidism","site_04",10
"1277","SEVERE_NO_ARDS_18_49",,"elix","Renal failure","site_04",10
"1278","SEVERE_NO_ARDS_18_49",,"elix","Liver disease","site_04",10
"1279","SEVERE_NO_ARDS_18_49",,"elix","Peptic ulcer disease","site_04",10
"1280","SEVERE_NO_ARDS_18_49",,"elix","AIDS/HIV","site_04",10
"1281","SEVERE_NO_ARDS_18_49",,"elix","Lymphoma","site_04",10
"1282","SEVERE_NO_ARDS_18_49",,"elix","Metastatic cancer","site_04",10
"1283","SEVERE_NO_ARDS_18_49",,"elix","Solid tumor without metastasis","site_04",10
"1284","SEVERE_NO_ARDS_18_49",,"elix","Rheumatoid arthritis","site_04",10
"1285","SEVERE_NO_ARDS_18_49",,"elix","Coagulopathy","site_04",10
"1286","SEVERE_NO_ARDS_18_49",,"elix","Obesity","site_04",10
"1287","SEVERE_NO_ARDS_18_49",,"elix","Weight loss","site_04",10
"1288","SEVERE_NO_ARDS_18_49",,"elix","Fluid/electrolyte disorders","site_04",10
"1289","SEVERE_NO_ARDS_18_49",,"elix","Blood loss anemia","site_04",10
"1290","SEVERE_NO_ARDS_18_49",,"elix","Deficiency anemia","site_04",10
"1291","SEVERE_NO_ARDS_18_49",,"elix","Alcohol abuse","site_04",10
